"Species after GB analysis","GB Number","Paper titles","Searched name",
"Anemia phyllitidis","SRX3868021","fern whole genome duplication study","Anemia phyllitidis"
"Ophioglossum petiolatum","SRX666586|ERX337179","Ophioglossum petiolatum Transcriptome or Gene expression|1000 Plant (1KP) Transcriptomes : The pilot study.","Ophioglossum petiolatum"
"Ophioglossum vulgatum","SRX11193688|SRX2773450|ERX2099940|SRX2779507|SRX1098237","Ophioglossum vulgatum Genome sequencing|Conservation and divergence of small RNA pathways in vascular plants revealed by small RNA analyses in lycophytes and ferns|1000 Plant (1KP) Transcriptomes: The Remaining Data|Transcriptome of 1 hornwort, 4 lycophytes and 21 ferns|Samples collected from multiple fern species. raw sequence reads","Ophioglossum vulgatum"
"Osmundastrum cinnamomeum","SRX3700902|ERX2100248|ERX2099950","Fern Target Sequence Capture|1000 Plant (1KP) Transcriptomes: The Remaining Data","Osmunda cinnamomea"
"Osmunda regalis","ERX2099951","1000 Plant (1KP) Transcriptomes: The Remaining Data","Osmunda regalis"
"Pleopeltis polypodioides","ERX2099959","1000 Plant (1KP) Transcriptomes: The Remaining Data","Pleopeltis polypodioides"
"Pleopeltis polypodioides","ERX2099959","1000 Plant (1KP) Transcriptomes: The Remaining Data","Polypodium polypodioides"
"Polypodium vulgare","SRX8829200","Raw sequence reads from Danish species","Polypodium vulgare"
"Psilotum complanatum","SRX8165846","DNA Barcodes from the Global Genome Initiative for Gardens Program","Psilotum complanatum"
"Psilotum nudum","SRX2773451|SRX3868102|SRX2779506|SRX2044310|SRX2044309|SRX1098247|ERX337180","Conservation and divergence of small RNA pathways in vascular plants revealed by small RNA analyses in lycophytes and ferns|fern whole genome duplication study|Transcriptome of 1 hornwort, 4 lycophytes and 21 ferns|Psilotum nudum stem and rhizome transcriptome|Samples collected from multiple fern species. raw sequence reads|1000 Plant (1KP) Transcriptomes : The pilot study.","Psilotum nudum"
"Acrostichum aureum","SRX3868003|SRX1098250|SRX893776","fern whole genome duplication study|Samples collected from multiple fern species. raw sequence reads|Transcriptomes of aquatic ferns","Acrostichum aureum"
"Adiantum capillus-veneris","SRX5005299|SRX3868008","pteridophyte Transcriptome|fern whole genome duplication study","Adiantum capillus-veneris"
"Ceratopteris pteridoides","SRX2153073|SRX2153072|SRX2153071|SRX2153070","ferns transcriptome","Ceratopteris pteridoides"
"Myriopteris gracilis","SRX2880713|SRX2872753","Can asexuality confer a short term advantage? Investigating apparent biogeographic success in the apomictic triploid fern Myriopteris gracilis","Cheilanthes feei"
"Gaga arizonica","ERX2099988","1000 Plant (1KP) Transcriptomes: The Remaining Data","Gaga arizonica"
"Myriopteris rufa","ERX2099996","1000 Plant (1KP) Transcriptomes: The Remaining Data","Myriopteris rufa"
"Pityrogramma trifoliata","ERX2099993","1000 Plant (1KP) Transcriptomes: The Remaining Data","Pityrogramma trifoliata"
"Pteris biaurita","SRX4043317","High-depth whole genome sequencing of 760 vascular plants with specimens and images available Raw sequence reads","Pteris biaurita"
"Vittaria lineata","SRX8338594|ERX2099997","Genealogy of Flagellate Plant (GoFlag) - GoFlag 451 Pilot Project|1000 Plant (1KP) Transcriptomes: The Remaining Data","Vittaria lineata"
"Saccoloma elegans","SRX3700887","Fern Target Sequence Capture","Saccoloma elegans"
"Azolla filiculoides","ERX5603051|ERX5603035|ERX5603034|ERX5603032|ERX5603031|ERX5602849|ERX5602848|ERX5602846|ERX5602845|ERX5602843|ERX5602842|ERX5602840|ERX5602838|ERX5609305|ERX5609272|ERX5609271|ERX5609270|ERX5609265|SRX392679|SRX392677|SRX392670|ERX2523121|ERX2523120|ERX2523119|ERX2523118|ERX2523117|ERX2523116|ERX2523115|ERX2523114|ERX2523113|ERX2523112|ERX2523111|ERX2523110|ERX2523109|ERX2523108|ERX2523107|ERX2523106|ERX2523105|ERX2523104|ERX2523103|ERX2523102|ERX2523101|ERX2523100|SRX4088716|SRX3878102|SRX3570142|SRX3570141|SRX3570140|SRX3570139|SRX3570138|SRX3570137|SRX3570136|SRX3570135|SRX3570134|SRX3570133|SRX3570132|SRX3570131|SRX3570018|ERX2201415|ERX2201414|ERX2201413|ERX2201412|ERX2201411|ERX2201410|ERX2201409|ERX2201408|ERX2201407|ERX2201406|ERX2201405|ERX2201404|ERX2201403|ERX2201402|ERX2201401|ERX2171676|ERX2171675|ERX2171674|ERX2171673|ERX2171672|ERX2171671|ERX2171670|ERX2171669|ERX2171668|SRX738102|SRX738101|SRX738100|SRX738099|SRX738097|SRX738096|SRX738095|SRX738094|SRX738070","AKS1-S3|Azolla filiculoides root tip global gene expression analysis|Azolla diel nitrogen response|Azolla genome project|Is there foul play in the leaf pocket? The metagenome of floating fern Azolla reveals endophytes that do not fix N 2 but may denitrify.","Azolla filiculoides"
"Azolla microphylla","SRX3570021|ERX2201421|ERX2201420|ERX2201419","Azolla genome project|Is there foul play in the leaf pocket? The metagenome of floating fern Azolla reveals endophytes that do not fix N 2 but may denitrify.","Azolla microphylla"
"Actinostachys pennula","SRX2830682","Plastome sequencing of Actinostachys and Schizaea, Schizaeaceae. Genome sequencing and assembly","Actinostachys pennula"
"Schizaea elegans","SRX2830681","Plastome sequencing of Actinostachys and Schizaea, Schizaeaceae. Genome sequencing and assembly","Schizaea elegans"
"Selaginella apoda","ERX2099931","1000 Plant (1KP) Transcriptomes: The Remaining Data","Selaginella apoda"
"Selaginella lepidophylla","SRX8124626|SRX8124625|SRX8124624|SRX8124623|SRX8124614|SRX8124613|SRX3444919|SRX3444918|SRX3444917|SRX3444916|SRX3444915|SRX3444914|SRX3444913|SRX3444912|SRX3442933|SRX3442932|SRX3442931|SRX3442930|SRX3442929|SRX3442928|SRX3442927|SRX3442926|SRX3442925|SRX3442924|SRX3442923|SRX3442922|SRX3442921|SRX3442920|SRX3442919|SRX3442918|SRX3442917|ERX2099933","RNAseq raw sequence reads of Selaginella sellowii, Selaginella lepidophylla, Selaginella denticulata|Selaginella lepidophylla Epigenomics|Selaginella lepidophylla Transcriptome|1000 Plant (1KP) Transcriptomes: The Remaining Data","Selaginella lepidophylla"
"Selaginella martensii","SRX2312497","Lycopod de novo transcriptomics","Selaginella martensii"
"Selaginella peruviana","SRX4053747","RNA-seq of Selaginella species","Selaginella peruviana"
"Selaginella sellowii","SRX8124622|SRX8124621|SRX8124620|SRX8124619|SRX8124612|SRX8124611","RNAseq raw sequence reads of Selaginella sellowii, Selaginella lepidophylla, Selaginella denticulata","Selaginella sellowii"
"Thelypteris kunthii","SRX3700905","Fern Target Sequence Capture","Thelypteris kunthii"
"Calocedrus decurrens","SRX10726305|ERX2099865","Raw reads of gymnosperm plastomes|1000 Plant (1KP) Transcriptomes: The Remaining Data","Calocedrus decurrens"
"Hesperocyparis arizonica","SRX8165831","DNA Barcodes from the Global Genome Initiative for Gardens Program","Cupressus arizonica"
"Juniperus ashei","SRX2004706","Transcriptome analysis of Juniperus species","Juniperus ashei"
"Juniperus deppeana","SRX3421569","Long-term in situ persistence of biodiversity in tropical sky-islands revealed by landscape genomics","Juniperus deppeana"
"Juniperus flaccida","SRX8623036|SRX8623035|SRX3421565|SRX3421564|SRX3421431|SRX3421430|SRX3421429|SRX3421428","Comparative Transcriptomic Analysis of Juvenile and Adult Leaf Morphologies in Conifers|Long-term in situ persistence of biodiversity in tropical sky-islands revealed by landscape genomics","Juniperus flaccida"
"Juniperus monosperma","SRX2004708","Transcriptome analysis of Juniperus species","Juniperus monosperma"
"Juniperus monticola","SRX3421573|SRX3421572|SRX3421571|SRX3421570|SRX3421568|SRX3421567|SRX3421566|SRX3421563|SRX3421562|SRX3421561|SRX3421560|SRX3421559|SRX3421558|SRX3421557|SRX3421556|SRX3421555|SRX3421554|SRX3421553|SRX3421552|SRX3421551|SRX3421550|SRX3421549|SRX3421548|SRX3421547|SRX3421546|SRX3421545|SRX3421544|SRX3421543|SRX3421542|SRX3421541|SRX3421540|SRX3421539|SRX3421538|SRX3421537|SRX3421536|SRX3421535|SRX3421534|SRX3421533|SRX3421532|SRX3421531|SRX3421530|SRX3421529|SRX3421528|SRX3421527|SRX3421526|SRX3421525|SRX3421524|SRX3421523|SRX3421522|SRX3421521|SRX3421520|SRX3421519|SRX3421518|SRX3421517|SRX3421516|SRX3421515|SRX3421514|SRX3421513|SRX3421512|SRX3421511|SRX3421510|SRX3421509|SRX3421508|SRX3421507|SRX3421506|SRX3421505|SRX3421504|SRX3421503|SRX3421502|SRX3421501|SRX3421500|SRX3421499|SRX3421498|SRX3421497|SRX3421496|SRX3421495|SRX3421494|SRX3421493|SRX3421492|SRX3421491|SRX3421490|SRX3421489|SRX3421488|SRX3421487|SRX3421486|SRX3421485|SRX3421484|SRX3421483|SRX3421482|SRX3421481|SRX3421480|SRX3421479|SRX3421478|SRX3421477|SRX3421476|SRX3421475|SRX3421474|SRX3421473|SRX3421472|SRX3421471|SRX3421470|SRX3421469|SRX3421468|SRX3421467|SRX3421466|SRX3421465|SRX3421464|SRX3421463|SRX3421462|SRX3421461|SRX3421460|SRX3421459|SRX3421458|SRX3421457|SRX3421456|SRX3421455|SRX3421454|SRX3421453|SRX3421452|SRX3421451|SRX3421450|SRX3421449|SRX3421448|SRX3421447|SRX3421446|SRX3421445|SRX3421444|SRX3421443|SRX3421442|SRX3421441|SRX3421440|SRX3421439|SRX3421438|SRX3421437|SRX3421436|SRX3421435|SRX3421434|SRX3421427|SRX3421426|SRX3421425|SRX3421424|SRX3421423|SRX3421422|SRX3421421|SRX3421420|SRX3421419|SRX3421418","Long-term in situ persistence of biodiversity in tropical sky-islands revealed by landscape genomics","Juniperus monticola"
"Juniperus pinchotii","SRX2004707","Transcriptome analysis of Juniperus species","Juniperus pinchotii"
"Juniperus scopulorum","ERX337110","1000 Plant (1KP) Transcriptomes : The pilot study.","Juniperus scopulorum"
"Juniperus zanonii","SRX3421433|SRX3421432","Long-term in situ persistence of biodiversity in tropical sky-islands revealed by landscape genomics","Juniperus zanonii"
"Ephedra trifurca","SRX8338605|SRX664970","Genealogy of Flagellate Plant (GoFlag) - GoFlag 451 Pilot Project|Gymnosperms transcriptomes","Ephedra trifurca"
"Abies concolor","SRX6793156|SRX6261321","Circum-Mediterranean firs evolution|Sequencing ABIES CONCOLOR","Abies concolor"
"Abies religiosa","SRX6793149|SRX6060582|SRX6060512","Circum-Mediterranean firs evolution|Multiple species from the pine family Raw sequence reads","Abies religiosa"
"Picea chihuahuana","SRX6361486|SRX6361485|SRX6060581|ERX1864361|ERX1861539|ERX1859156","Transcriptomic raw data of Picea|Multiple species from the pine family Raw sequence reads|Interspecific plastome recombination in Picea (Pinaceae) reveals ancient reticulate evolution|Interspecific plastome recombination in Picea (Pinaceae) reveals ancient reticulate evolution&#8203;","Picea chihuahuana"
"Picea engelmannii","SRX649013|SRX6361489|SRX6361488|SRX6069825|SRX6069663|SRX5070643|SRX5070642|SRX5070641|SRX5070640|SRX5070639|SRX5070638|SRX5070637|SRX5070636|SRX5070635|SRX5070634|SRX5070633|SRX5070632|ERX2099891|ERX1862345|ERX1862344|ERX1862343|SRX1611989|SRX1611901|SRX1611819|SRX1611817|SRX1611732|SRX1611701|SRX1611700|SRX1611692|SRX1611691|SRX1611688|SRX1611677|SRX1611672|SRX1611664|SRX1611656|SRX1611653|SRX1611650|SRX1611646|SRX1611645|SRX1611642|SRX1611641|SRX1611639|SRX1611635|SRX1611631|SRX649014","Picea engelmannii Transcriptome|Transcriptomic raw data of Picea|Picea engelmannii isolate:Se404-851 Genome sequencing and assembly|1000 Plant (1KP) Transcriptomes: The Remaining Data|Interspecific plastome recombination in Picea (Pinaceae) reveals ancient reticulate evolution|Picea glauca Association Populations","Picea engelmannii"
"Pinus arizonica|Pinus arizonica var. cooperi|Pinus arizonica var. stormiae","SRX10204129|SRX10204118|SRX10204115|SRX5842750|SRX5842740|SRX5842732|SRX5842728|SRX5842713|SRX5842711|SRX5842709|SRX5842696","The transcriptomes of Pinus|Pinus subsection Ponderosae phylogeny using low copy nuclear genes","Pinus arizonica"
"Pinus attenuata","SRX10204162|SRX10204151|SRX6060519|SRX6060518","The transcriptomes of Pinus|Multiple species from the pine family Raw sequence reads","Pinus attenuata"
"Pinus ayacahuite","SRX10204173|SRX10204080|SRX6444924|SRX6444920|SRX6444915|SRX6444909|SRX6444885|SRX6444881","The transcriptomes of Pinus|IDENTIFICATION OF WOODEN SPECIES THROUGH GENETIC MARKERS four parts|IDENTIFICATION OF WOODEN SPECIES THROUGH GENETIC MARKERS three parts|IDENTIFICATION OF WOODEN SPECIES THROUGH GENETIC MARKERS six parts|IDENTIFICATION OF WOODEN SPECIES THROUGH GENETIC MARKERS|IDENTIFICATION OF WOODEN SPECIES THROUGH GENETIC MARKERS five parts","Pinus ayacahuite"
"Pinus caribaea var. hondurensis|Pinus caribaea","SRX10204101|SRX10204096|SRX10204085","The transcriptomes of Pinus","Pinus caribaea"
"Pinus cembroides|Pinus cembroides subsp. lagunae","SRX10204106|SRX10204105|SRX9082341|SRX9082340|SRX9082339|SRX9082338|SRX9082321|SRX8623038|SRX8623037|SRX6261326|SRX6060508","The transcriptomes of Pinus|Multiple species from the pine family Raw sequence reads|Comparative Transcriptomic Analysis of Juvenile and Adult Leaf Morphologies in Conifers|Sequencing PINUS CEMBROIDES","Pinus cembroides"
